Name,Aura,CL,Slot,Price,Weight,Description,Requirements,Cost,Group,Source,AL,Int,Wis,Cha,Ego,Communication,Senses,Powers,MagicItems,FullText,Destruction,MinorArtifactFlag,MajorArtifactFlag,Abjuration,Conjuration,Divination,Enchantment,Evocation,Necromancy,Transmutation,AuraStrength,WeightValue,PriceValue,CostValue,Languages,BaseItem,LinkText,id,Mythic,LegendaryWeapon,Illusion,Universal,Scaling,IsIntelligentItem
Unguent of Timelessness,faint transmutation,3,none,150 gp,-,"When applied to any matter that was once alive, such as wood, paper, or a dead body, this ointment allows that substance to resist the passage of time. Each year of actual time affects the substance as if only a day had passed. The coated object gains a +1 resistance bonus on all saving throws. The unguent never wears off, although it can be magically removed (by dispelling the effect, for instance). One flask contains enough material to coat eight Medium or smaller objects. A Large object counts as two Medium objects, and a Huge object counts as four Medium objects.","Craft Wondrous Item, gentle repose",75 gp,Wondrous Item,PFRPG Core,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Unguent of Timelessness</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>faint transmutation; <b>CL </b>3rd</h5><h5><b>Slot </b>-; <b>Price </b>150 gp; <b>Weight </b>-</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>When applied to any matter that was once alive, such as wood, paper, or a dead body, this ointment allows that substance to resist the passage of time. Each year of actual time affects the substance as if only a day had passed. The coated object gains a +1 resistance bonus on all saving throws. The unguent never wears off, although it can be magically removed (by dispelling the effect, for instance). One flask contains enough material to coat eight Medium or smaller objects. A Large object counts as two Medium objects, and a Huge object counts as four Medium objects.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>gentle repose</i>; <b>Cost </b>75 gp</h5></div>",,0,0,0,0,0,0,0,0,1,faint,0.0,150.0,75,,,Unguent of Timelessness,270,0,0,0,0,,0
Universal Solvent,faint transmutation,3,none,50 gp,-,"This substance has the unique property of being able to dissolve sovereign glue, tanglefoot bags, and all other adhesives. Applying the solvent is a standard action.","Craft Wondrous Item, acid arrow",25 gp,Wondrous Item,PFRPG Core,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Universal Solvent</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>faint transmutation; <b>CL </b>3rd</h5><h5><b>Slot </b>-; <b>Price </b>50 gp; <b>Weight </b>-</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This substance has the unique property of being able to dissolve <i>sovereign glue</i>, tanglefoot bags, and all other adhesives. Applying the solvent is a standard action.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>acid arrow</i>; <b>Cost </b>25 gp</h5></div>",,0,0,0,0,0,0,0,0,1,faint,0.0,50.0,25,,,Universal Solvent,271,0,0,0,0,,0
Figurine of Wondrous Power (silver raven),Moderate enchantment and transmutation,6,none,"3,800 gp",1 lb.,"Each of the several kinds of figurines of wondrous power appears to be a miniature statuette of a creature an inch or so high (with one exception). When the figurine is tossed down and the correct command word spoken, it becomes a living creature of normal size (except when noted otherwise below). The creature obeys and serves its owner. Unless stated otherwise, the creature understands Common but does not speak. If a figurine of wondrous power is broken or destroyed in its statuette form, it is forever ruined. All magic is lost, its power departed. If slain in animal form, the figurine simply reverts to a statuette that can be used again at a later time. Silver Raven: This silver figurine turns into a raven on command (but it retains its metallic consistency, which gives it hardness 10). Another command sends it off into the air, bearing a message just like a creature affected by an animal messenger spell. If not commanded to carry a message, the raven obeys the commands of its owner, although it has no special powers or telepathic abilities. It can maintain its nonfigurine status for only 24 hours per week, but the duration need not be continuous.","Craft Wondrous Item, animal messenger, animate objects","1,900 gp",Wondrous Item,PFRPG Core,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Figurine of Wondrous Power (silver raven)</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>Moderate enchantment and transmutation; <b>CL </b>6th</h5><h5><b>Slot </b>-; <b>Price </b>3,800 gp; <b>Weight </b>1 lb.</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>Each of the several kinds of <i>figurines of wondrous power</i> appears to be a miniature statuette of a creature an inch or so high (with one exception). When the figurine is tossed down and the correct command word spoken, it becomes a living creature of normal size (except when noted otherwise below). The creature obeys and serves its owner. Unless stated otherwise, the creature understands Common but does not speak. If a <i>figurine of wondrous power</i> is broken or destroyed in its statuette form, it is forever ruined. All magic is lost, its power departed. If slain in animal form, the figurine simply reverts to a statuette that can be used again at a later time. <b>Silver Raven</b>: This silver figurine turns into a raven on command (but it retains its metallic consistency, which gives it hardness 10). Another command sends it off into the air, bearing a message just like a creature affected by an <i>animal messenger</i> spell. If not commanded to carry a message, the raven obeys the commands of its owner, although it has no special powers or telepathic abilities. It can maintain its nonfigurine status for only 24 hours per week, but the duration need not be continuous.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>animal messenger</i>, <i>animate objects</i>; <b>Cost </b>1,900 gp</h5></div>",,0,0,0,0,0,1,0,0,1,none,1.0,3800.0,1900,,,Figurine of Wondrous Power (silver raven),549,0,0,0,0,,0
"Metamagic Gem, Empowering Topaz",strong (no school),11,none,"2,000 gp",-,"Metamagic gems can be used to enhance spells with various metamagic effects, similar to the way metamagic rods are used, save that metamagic gems are consumed when they are used. To apply the effects of a metamagic gem to a spell, you need only use the metamagic gem as an additional material component for the spell in question.  When you apply a metamagic effect to a spell using a metamagic gem, the spell slot of the altered spell does not change. You may only use one metamagic gem on any given spell, and while that spell cannot be further enhanced by a metamagic rod, it can be used with spells already enhanced in the normal way via any metamagic feats you possess. In this case, only the feats possessed by you adjust the spell slot of the spell being cast.  Use of a metamagic gem does not confer the associated feat on the owner, only the one-time ability to use the given feat. A sorcerer or other spontaneous spellcaster must still take a fullround action when using a metamagic gem, just as if using a metamagic feat he possesses (except for quickening diamonds, which can be used as a swift action).  The metamagic gems presented here are not the only such gems that exist. Other metamagic gems based on metamagic feats from other sources could easily be created-their costs should follow the pattern presented here (1,000 gp for gems that alter a spell slot by 1 level, 2,000 gp for those that alter spell slots by 2 levels, and so on), and each new gem should have a corresponding unique gemstone type associated with it.","Craft Wondrous Item, appropriate metamagic feat","1,000 gp",Wondrous Item,Rival Guide,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Metamagic Gem, Empowering Topaz</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>strong (no school); <b>CL </b>11th</h5><h5><b>Slot </b>none; <b>Price </b>2,000 gp; <b>Weight </b>-</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p><i>Metamagic gems</i> can be used to enhance spells with various metamagic effects, similar to the way <i><i>metamagic rod</i>s</i> are used, save that <i>metamagic gem</i>s are consumed when they are used. To apply the effects of a <i>metamagic gem</i> to a spell, you need only use the <i>metamagic gem</i> as an additional material component for the spell in question.</p><p>When you apply a metamagic effect to a spell using a <i>metamagic gem</i>, the spell slot of the altered spell does not change. You may only use one <i>metamagic gem</i> on any given spell, and while that spell cannot be further enhanced by a <i>metamagic rod</i>, it can be used with spells already enhanced in the normal way via any metamagic feats you possess. In this case, only the feats possessed by you adjust the spell slot of the spell being cast.</p><p>Use of a <i>metamagic gem</i> does not confer the associated feat on the owner, only the one-time ability to use the given feat. A sorcerer or other spontaneous spellcaster must still take a fullround action when using a <i>metamagic gem</i>, just as if using a metamagic feat he possesses (except for <i>quickening diamonds</i>, which can be used as a swift action).</p><p>The <i>metamagic gem</i>s presented here are not the only such gems that exist. Other <i>metamagic gem</i>s based on metamagic feats from other sources could easily be created-their costs should follow the pattern presented here (1,000 gp for gems that alter a spell slot by 1 level, 2,000 gp for those that alter spell slots by 2 levels, and so on), and each new gem should have a corresponding unique gemstone type associated with it.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>appropriate metamagic feat</i>; <b>Cost </b>1,000 gp</h5></div>",,0,0,0,0,0,0,0,0,0,strong,0.0,2000.0,1000,,,,930,0,0,0,0,,0
"Metamagic Gem, Enlarging Amethyst",strong (no school),11,none,"1,000 gp",-,"Metamagic gems can be used to enhance spells with various metamagic effects, similar to the way metamagic rods are used, save that metamagic gems are consumed when they are used. To apply the effects of a metamagic gem to a spell, you need only use the metamagic gem as an additional material component for the spell in question.  When you apply a metamagic effect to a spell using a metamagic gem, the spell slot of the altered spell does not change. You may only use one metamagic gem on any given spell, and while that spell cannot be further enhanced by a metamagic rod, it can be used with spells already enhanced in the normal way via any metamagic feats you possess. In this case, only the feats possessed by you adjust the spell slot of the spell being cast.  Use of a metamagic gem does not confer the associated feat on the owner, only the one-time ability to use the given feat. A sorcerer or other spontaneous spellcaster must still take a fullround action when using a metamagic gem, just as if using a metamagic feat he possesses (except for quickening diamonds, which can be used as a swift action).  The metamagic gems presented here are not the only such gems that exist. Other metamagic gems based on metamagic feats from other sources could easily be created-their costs should follow the pattern presented here (1,000 gp for gems that alter a spell slot by 1 level, 2,000 gp for those that alter spell slots by 2 levels, and so on), and each new gem should have a corresponding unique gemstone type associated with it.","Craft Wondrous Item, appropriate metamagic feat",500 gp,Wondrous Item,Rival Guide,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Metamagic Gem, Enlarging Amethyst</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>strong (no school); <b>CL </b>11th</h5><h5><b>Slot </b>none; <b>Price </b>1,000 gp; <b>Weight </b>-</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p><i>Metamagic gems</i> can be used to enhance spells with various metamagic effects, similar to the way <i><i>metamagic rod</i>s</i> are used, save that <i>metamagic gem</i>s are consumed when they are used. To apply the effects of a <i>metamagic gem</i> to a spell, you need only use the <i>metamagic gem</i> as an additional material component for the spell in question.</p><p>When you apply a metamagic effect to a spell using a <i>metamagic gem</i>, the spell slot of the altered spell does not change. You may only use one <i>metamagic gem</i> on any given spell, and while that spell cannot be further enhanced by a <i>metamagic rod</i>, it can be used with spells already enhanced in the normal way via any metamagic feats you possess. In this case, only the feats possessed by you adjust the spell slot of the spell being cast.</p><p>Use of a <i>metamagic gem</i> does not confer the associated feat on the owner, only the one-time ability to use the given feat. A sorcerer or other spontaneous spellcaster must still take a fullround action when using a <i>metamagic gem</i>, just as if using a metamagic feat he possesses (except for <i>quickening diamonds</i>, which can be used as a swift action).</p><p>The <i>metamagic gem</i>s presented here are not the only such gems that exist. Other <i>metamagic gem</i>s based on metamagic feats from other sources could easily be created-their costs should follow the pattern presented here (1,000 gp for gems that alter a spell slot by 1 level, 2,000 gp for those that alter spell slots by 2 levels, and so on), and each new gem should have a corresponding unique gemstone type associated with it.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>appropriate metamagic feat</i>; <b>Cost </b>500 gp</h5></div>",,0,0,0,0,0,0,0,0,0,strong,0.0,1000.0,500,,,,931,0,0,0,0,,0
"Metamagic Gem, Extending Garnet",strong (no school),11,none,"1,000 gp",-,"Metamagic gems can be used to enhance spells with various metamagic effects, similar to the way metamagic rods are used, save that metamagic gems are consumed when they are used. To apply the effects of a metamagic gem to a spell, you need only use the metamagic gem as an additional material component for the spell in question.  When you apply a metamagic effect to a spell using a metamagic gem, the spell slot of the altered spell does not change. You may only use one metamagic gem on any given spell, and while that spell cannot be further enhanced by a metamagic rod, it can be used with spells already enhanced in the normal way via any metamagic feats you possess. In this case, only the feats possessed by you adjust the spell slot of the spell being cast.  Use of a metamagic gem does not confer the associated feat on the owner, only the one-time ability to use the given feat. A sorcerer or other spontaneous spellcaster must still take a fullround action when using a metamagic gem, just as if using a metamagic feat he possesses (except for quickening diamonds, which can be used as a swift action).  The metamagic gems presented here are not the only such gems that exist. Other metamagic gems based on metamagic feats from other sources could easily be created-their costs should follow the pattern presented here (1,000 gp for gems that alter a spell slot by 1 level, 2,000 gp for those that alter spell slots by 2 levels, and so on), and each new gem should have a corresponding unique gemstone type associated with it.","Craft Wondrous Item, appropriate metamagic feat",500 gp,Wondrous Item,Rival Guide,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Metamagic Gem, Extending Garnet</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>strong (no school); <b>CL </b>11th</h5><h5><b>Slot </b>none; <b>Price </b>1,000 gp; <b>Weight </b>-</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p><i>Metamagic gems</i> can be used to enhance spells with various metamagic effects, similar to the way <i><i>metamagic rod</i>s</i> are used, save that <i>metamagic gem</i>s are consumed when they are used. To apply the effects of a <i>metamagic gem</i> to a spell, you need only use the <i>metamagic gem</i> as an additional material component for the spell in question.</p><p>When you apply a metamagic effect to a spell using a <i>metamagic gem</i>, the spell slot of the altered spell does not change. You may only use one <i>metamagic gem</i> on any given spell, and while that spell cannot be further enhanced by a <i>metamagic rod</i>, it can be used with spells already enhanced in the normal way via any metamagic feats you possess. In this case, only the feats possessed by you adjust the spell slot of the spell being cast.</p><p>Use of a <i>metamagic gem</i> does not confer the associated feat on the owner, only the one-time ability to use the given feat. A sorcerer or other spontaneous spellcaster must still take a fullround action when using a <i>metamagic gem</i>, just as if using a metamagic feat he possesses (except for <i>quickening diamonds</i>, which can be used as a swift action).</p><p>The <i>metamagic gem</i>s presented here are not the only such gems that exist. Other <i>metamagic gem</i>s based on metamagic feats from other sources could easily be created-their costs should follow the pattern presented here (1,000 gp for gems that alter a spell slot by 1 level, 2,000 gp for those that alter spell slots by 2 levels, and so on), and each new gem should have a corresponding unique gemstone type associated with it.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>appropriate metamagic feat</i>; <b>Cost </b>500 gp</h5></div>",,0,0,0,0,0,0,0,0,0,strong,0.0,1000.0,500,,,,932,0,0,0,0,,0
"Metamagic Gem, Maximizing Sapphire",strong (no school),11,none,"4,000 gp",-,"Metamagic gems can be used to enhance spells with various metamagic effects, similar to the way metamagic rods are used, save that metamagic gems are consumed when they are used. To apply the effects of a metamagic gem to a spell, you need only use the metamagic gem as an additional material component for the spell in question.  When you apply a metamagic effect to a spell using a metamagic gem, the spell slot of the altered spell does not change. You may only use one metamagic gem on any given spell, and while that spell cannot be further enhanced by a metamagic rod, it can be used with spells already enhanced in the normal way via any metamagic feats you possess. In this case, only the feats possessed by you adjust the spell slot of the spell being cast.  Use of a metamagic gem does not confer the associated feat on the owner, only the one-time ability to use the given feat. A sorcerer or other spontaneous spellcaster must still take a fullround action when using a metamagic gem, just as if using a metamagic feat he possesses (except for quickening diamonds, which can be used as a swift action).  The metamagic gems presented here are not the only such gems that exist. Other metamagic gems based on metamagic feats from other sources could easily be created-their costs should follow the pattern presented here (1,000 gp for gems that alter a spell slot by 1 level, 2,000 gp for those that alter spell slots by 2 levels, and so on), and each new gem should have a corresponding unique gemstone type associated with it.","Craft Wondrous Item, appropriate metamagic feat","2,000 gp",Wondrous Item,Rival Guide,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Metamagic Gem, Maximizing Sapphire</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>strong (no school); <b>CL </b>11th</h5><h5><b>Slot </b>none; <b>Price </b>4,000 gp; <b>Weight </b>-</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p><i>Metamagic gems</i> can be used to enhance spells with various metamagic effects, similar to the way <i><i>metamagic rod</i>s</i> are used, save that <i>metamagic gem</i>s are consumed when they are used. To apply the effects of a <i>metamagic gem</i> to a spell, you need only use the <i>metamagic gem</i> as an additional material component for the spell in question.</p><p>When you apply a metamagic effect to a spell using a <i>metamagic gem</i>, the spell slot of the altered spell does not change. You may only use one <i>metamagic gem</i> on any given spell, and while that spell cannot be further enhanced by a <i>metamagic rod</i>, it can be used with spells already enhanced in the normal way via any metamagic feats you possess. In this case, only the feats possessed by you adjust the spell slot of the spell being cast.</p><p>Use of a <i>metamagic gem</i> does not confer the associated feat on the owner, only the one-time ability to use the given feat. A sorcerer or other spontaneous spellcaster must still take a fullround action when using a <i>metamagic gem</i>, just as if using a metamagic feat he possesses (except for <i>quickening diamonds</i>, which can be used as a swift action).</p><p>The <i>metamagic gem</i>s presented here are not the only such gems that exist. Other <i>metamagic gem</i>s based on metamagic feats from other sources could easily be created-their costs should follow the pattern presented here (1,000 gp for gems that alter a spell slot by 1 level, 2,000 gp for those that alter spell slots by 2 levels, and so on), and each new gem should have a corresponding unique gemstone type associated with it.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>appropriate metamagic feat</i>; <b>Cost </b>2,000 gp</h5></div>",,0,0,0,0,0,0,0,0,0,strong,0.0,4000.0,2000,,,,933,0,0,0,0,,0
"Metamagic Gem, Quickening Diamond",strong (no school),11,none,"8,000 gp",-,"Metamagic gems can be used to enhance spells with various metamagic effects, similar to the way metamagic rods are used, save that metamagic gems are consumed when they are used. To apply the effects of a metamagic gem to a spell, you need only use the metamagic gem as an additional material component for the spell in question.  When you apply a metamagic effect to a spell using a metamagic gem, the spell slot of the altered spell does not change. You may only use one metamagic gem on any given spell, and while that spell cannot be further enhanced by a metamagic rod, it can be used with spells already enhanced in the normal way via any metamagic feats you possess. In this case, only the feats possessed by you adjust the spell slot of the spell being cast.  Use of a metamagic gem does not confer the associated feat on the owner, only the one-time ability to use the given feat. A sorcerer or other spontaneous spellcaster must still take a fullround action when using a metamagic gem, just as if using a metamagic feat he possesses (except for quickening diamonds, which can be used as a swift action).  The metamagic gems presented here are not the only such gems that exist. Other metamagic gems based on metamagic feats from other sources could easily be created-their costs should follow the pattern presented here (1,000 gp for gems that alter a spell slot by 1 level, 2,000 gp for those that alter spell slots by 2 levels, and so on), and each new gem should have a corresponding unique gemstone type associated with it.","Craft Wondrous Item, appropriate metamagic feat","4,000 gp",Wondrous Item,Rival Guide,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Metamagic Gem, Quickening Diamond</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>strong (no school); <b>CL </b>11th</h5><h5><b>Slot </b>none; <b>Price </b>8,000 gp; <b>Weight </b>-</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p><i>Metamagic gems</i> can be used to enhance spells with various metamagic effects, similar to the way <i><i>metamagic rod</i>s</i> are used, save that <i>metamagic gem</i>s are consumed when they are used. To apply the effects of a <i>metamagic gem</i> to a spell, you need only use the <i>metamagic gem</i> as an additional material component for the spell in question.</p><p>When you apply a metamagic effect to a spell using a <i>metamagic gem</i>, the spell slot of the altered spell does not change. You may only use one <i>metamagic gem</i> on any given spell, and while that spell cannot be further enhanced by a <i>metamagic rod</i>, it can be used with spells already enhanced in the normal way via any metamagic feats you possess. In this case, only the feats possessed by you adjust the spell slot of the spell being cast.</p><p>Use of a <i>metamagic gem</i> does not confer the associated feat on the owner, only the one-time ability to use the given feat. A sorcerer or other spontaneous spellcaster must still take a fullround action when using a <i>metamagic gem</i>, just as if using a metamagic feat he possesses (except for <i>quickening diamonds</i>, which can be used as a swift action).</p><p>The <i>metamagic gem</i>s presented here are not the only such gems that exist. Other <i>metamagic gem</i>s based on metamagic feats from other sources could easily be created-their costs should follow the pattern presented here (1,000 gp for gems that alter a spell slot by 1 level, 2,000 gp for those that alter spell slots by 2 levels, and so on), and each new gem should have a corresponding unique gemstone type associated with it.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>appropriate metamagic feat</i>; <b>Cost </b>4,000 gp</h5></div>",,0,0,0,0,0,0,0,0,0,strong,0.0,8000.0,4000,,,,934,0,0,0,0,,0
"Metamagic Gem, Silent Spineld",strong (no school),11,none,"1,000 gp",-,"Metamagic gems can be used to enhance spells with various metamagic effects, similar to the way metamagic rods are used, save that metamagic gems are consumed when they are used. To apply the effects of a metamagic gem to a spell, you need only use the metamagic gem as an additional material component for the spell in question.  When you apply a metamagic effect to a spell using a metamagic gem, the spell slot of the altered spell does not change. You may only use one metamagic gem on any given spell, and while that spell cannot be further enhanced by a metamagic rod, it can be used with spells already enhanced in the normal way via any metamagic feats you possess. In this case, only the feats possessed by you adjust the spell slot of the spell being cast.  Use of a metamagic gem does not confer the associated feat on the owner, only the one-time ability to use the given feat. A sorcerer or other spontaneous spellcaster must still take a fullround action when using a metamagic gem, just as if using a metamagic feat he possesses (except for quickening diamonds, which can be used as a swift action).  The metamagic gems presented here are not the only such gems that exist. Other metamagic gems based on metamagic feats from other sources could easily be created-their costs should follow the pattern presented here (1,000 gp for gems that alter a spell slot by 1 level, 2,000 gp for those that alter spell slots by 2 levels, and so on), and each new gem should have a corresponding unique gemstone type associated with it.","Craft Wondrous Item, appropriate metamagic feat",500 gp,Wondrous Item,Rival Guide,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Metamagic Gem, Silent Spineld</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>strong (no school); <b>CL </b>11th</h5><h5><b>Slot </b>none; <b>Price </b>1,000 gp; <b>Weight </b>-</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p><i>Metamagic gems</i> can be used to enhance spells with various metamagic effects, similar to the way <i><i>metamagic rod</i>s</i> are used, save that <i>metamagic gem</i>s are consumed when they are used. To apply the effects of a <i>metamagic gem</i> to a spell, you need only use the <i>metamagic gem</i> as an additional material component for the spell in question.</p><p>When you apply a metamagic effect to a spell using a <i>metamagic gem</i>, the spell slot of the altered spell does not change. You may only use one <i>metamagic gem</i> on any given spell, and while that spell cannot be further enhanced by a <i>metamagic rod</i>, it can be used with spells already enhanced in the normal way via any metamagic feats you possess. In this case, only the feats possessed by you adjust the spell slot of the spell being cast.</p><p>Use of a <i>metamagic gem</i> does not confer the associated feat on the owner, only the one-time ability to use the given feat. A sorcerer or other spontaneous spellcaster must still take a fullround action when using a <i>metamagic gem</i>, just as if using a metamagic feat he possesses (except for <i>quickening diamonds</i>, which can be used as a swift action).</p><p>The <i>metamagic gem</i>s presented here are not the only such gems that exist. Other <i>metamagic gem</i>s based on metamagic feats from other sources could easily be created-their costs should follow the pattern presented here (1,000 gp for gems that alter a spell slot by 1 level, 2,000 gp for those that alter spell slots by 2 levels, and so on), and each new gem should have a corresponding unique gemstone type associated with it.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>appropriate metamagic feat</i>; <b>Cost </b>500 gp</h5></div>",,0,0,0,0,0,0,0,0,0,strong,0.0,1000.0,500,,,,935,0,0,0,0,,0
"Metamagic Gem, Still Amber",strong (no school),11,none,"1,000 gp",-,"Metamagic gems can be used to enhance spells with various metamagic effects, similar to the way metamagic rods are used, save that metamagic gems are consumed when they are used. To apply the effects of a metamagic gem to a spell, you need only use the metamagic gem as an additional material component for the spell in question.  When you apply a metamagic effect to a spell using a metamagic gem, the spell slot of the altered spell does not change. You may only use one metamagic gem on any given spell, and while that spell cannot be further enhanced by a metamagic rod, it can be used with spells already enhanced in the normal way via any metamagic feats you possess. In this case, only the feats possessed by you adjust the spell slot of the spell being cast.  Use of a metamagic gem does not confer the associated feat on the owner, only the one-time ability to use the given feat. A sorcerer or other spontaneous spellcaster must still take a fullround action when using a metamagic gem, just as if using a metamagic feat he possesses (except for quickening diamonds, which can be used as a swift action).  The metamagic gems presented here are not the only such gems that exist. Other metamagic gems based on metamagic feats from other sources could easily be created-their costs should follow the pattern presented here (1,000 gp for gems that alter a spell slot by 1 level, 2,000 gp for those that alter spell slots by 2 levels, and so on), and each new gem should have a corresponding unique gemstone type associated with it.","Craft Wondrous Item, appropriate metamagic feat",500 gp,Wondrous Item,Rival Guide,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Metamagic Gem, Still Amber</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>strong (no school); <b>CL </b>11th</h5><h5><b>Slot </b>none; <b>Price </b>1,000 gp; <b>Weight </b>-</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p><i>Metamagic gems</i> can be used to enhance spells with various metamagic effects, similar to the way <i><i>metamagic rod</i>s</i> are used, save that <i>metamagic gem</i>s are consumed when they are used. To apply the effects of a <i>metamagic gem</i> to a spell, you need only use the <i>metamagic gem</i> as an additional material component for the spell in question.</p><p>When you apply a metamagic effect to a spell using a <i>metamagic gem</i>, the spell slot of the altered spell does not change. You may only use one <i>metamagic gem</i> on any given spell, and while that spell cannot be further enhanced by a <i>metamagic rod</i>, it can be used with spells already enhanced in the normal way via any metamagic feats you possess. In this case, only the feats possessed by you adjust the spell slot of the spell being cast.</p><p>Use of a <i>metamagic gem</i> does not confer the associated feat on the owner, only the one-time ability to use the given feat. A sorcerer or other spontaneous spellcaster must still take a fullround action when using a <i>metamagic gem</i>, just as if using a metamagic feat he possesses (except for <i>quickening diamonds</i>, which can be used as a swift action).</p><p>The <i>metamagic gem</i>s presented here are not the only such gems that exist. Other <i>metamagic gem</i>s based on metamagic feats from other sources could easily be created-their costs should follow the pattern presented here (1,000 gp for gems that alter a spell slot by 1 level, 2,000 gp for those that alter spell slots by 2 levels, and so on), and each new gem should have a corresponding unique gemstone type associated with it.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>appropriate metamagic feat</i>; <b>Cost </b>500 gp</h5></div>",,0,0,0,0,0,0,0,0,0,strong,0.0,1000.0,500,,,,936,0,0,0,0,,0
