name,spellLevel,shortDescription,"Cleric, Druid, Wizard Scroll Cost",Sorcerer Scroll Cost,Bard Scroll Cost,"Paladin, Ranger Scroll Cost",Lowest Scroll Cost
Scroll of Detect Poison,"cleric/oracle 0, druid 0, paladin 1, ranger 1, sorcerer/wizard 0, shaman 0, occultist 0, psychic 0, mesmerist 0, inquisitor 0",Detects poison in a creature or object.,12.5,12.5,0.0,25.0,12.5
Scroll of Read Magic,"bard 0, cleric/oracle 0, druid 0, paladin 1, ranger 1, sorcerer/wizard 0, summoner/unchained summoner 0, witch 0, inquisitor 0, magus 0, shaman 0, occultist 0, psychic 0, mesmerist 0, spiritualist 0, medium 0",Read scrolls and spellbooks.,12.5,12.5,12.5,25.0,12.5
Scroll of Resistance,"bard 0, cleric/oracle 0, druid 0, paladin 1, sorcerer/wizard 0, summoner/unchained summoner 0, witch 0, inquisitor 0, shaman 0, occultist 0, psychic 0, spiritualist 0, medium 0",Subject gains +1 on saving throws.,12.5,12.5,12.5,25.0,12.5
Scroll of Virtue,"cleric/oracle 0, druid 0, paladin 1, inquisitor 0, shaman 0, psychic 0, spiritualist 0, medium 0",Subject gains 1 temporary hp.,12.5,0.0,0.0,25.0,12.5
Scroll of Create Water,"cleric/oracle 0, druid 0, paladin 1, inquisitor 0, shaman 0, occultist 0",Creates 2 gallons/level of pure water.,12.5,0.0,0.0,25.0,12.5
Scroll of Sotto Voce,"bard 1, cleric/oracle 0, sorcerer/wizard 0",,12.5,12.5,25.0,0.0,12.5
Scroll of Command,"antipaladin 1, cleric/oracle 1, inquisitor 1, witch 1, occultist 1, psychic 1, mesmerist 1, medium 1",One subject obeys a command for 1 round.,25.0,0.0,0.0,0.0,25.0
Scroll of Forbid Action,"cleric/oracle 1, inquisitor 1, occultist 1, psychic 1, mesmerist 1",Target obeys your command to not do something.,25.0,0.0,0.0,0.0,25.0
Scroll of Murderous Command,"antipaladin 1, cleric/oracle 1, occultist 1, psychic 1, mesmerist 1, medium 1",Target is compelled to kill its ally.,25.0,0.0,0.0,0.0,25.0
Scroll of Cause Fear,"antipaladin 1, bard 1, cleric/oracle 1, inquisitor 1, sorcerer/wizard 1, witch 1, bloodrager 1, shaman 1, occultist 1, psychic 1, mesmerist 1, spiritualist 1, medium 1",A creature of 5 HD or less flees for 1d4 rounds.,25.0,25.0,25.0,0.0,25.0
Scroll of Compel Hostility,"bard 1, cleric/oracle 1, inquisitor 1, paladin 1, ranger 1, summoner/unchained summoner 1, witch 1, psychic 1, mesmerist 1, medium 1",Compels opponents to attack you instead of your allies.,25.0,0.0,25.0,25.0,25.0
Scroll of Moment of Greatness,"bard 1, cleric/oracle 1, sorcerer/wizard 1, psychic 1",Doubles a morale bonus.,25.0,25.0,25.0,0.0,25.0
Scroll of Coward's Cowl,"alchemist 1, bard 1, cleric/oracle 1, mesmerist 1, psychic 1, shaman 1, sorcerer/wizard 1, witch 1",,25.0,25.0,25.0,0.0,25.0
Scroll of Comprehend Languages,"bard 1, cleric/oracle 1, sorcerer/wizard 1, witch 1, inquisitor 1, alchemist 1, shaman 1, occultist 1, psychic 1, mesmerist 1, spiritualist 1, medium 1",You understand all languages.,25.0,25.0,25.0,0.0,25.0
Scroll of Egorian Diplomacy,"bard 1, cleric/oracle 1, inquisitor 1, magus 1, mesmerist 1, psychic 1",,25.0,0.0,25.0,0.0,25.0
Scroll of Detect Undead,"cleric/oracle 1, paladin 1, sorcerer/wizard 1, alchemist 1, inquisitor 1, shaman 1, psychic 1, mesmerist 1, spiritualist 1, medium 1",Reveals undead within 60 ft.,25.0,25.0,0.0,25.0,25.0
Scroll of Endure Elements,"cleric/oracle 1, druid 1, paladin 1, ranger 1, sorcerer/wizard 1, alchemist 1, summoner/unchained summoner 1, bloodrager 1, shaman 1, psychic 1, spiritualist 1",Exist comfortably in hot or cold regions.,25.0,25.0,0.0,25.0,25.0
Scroll of Entropic Shield,"cleric/oracle 1, psychic 1", Ranged attacks against you have 20% miss chance.,25.0,0.0,0.0,0.0,25.0
Scroll of Opportunistic Loyalty,"antipaladin 1, cleric/oracle 1, inquisitor 1, mesmerist 1, psychic 1, witch 1",,25.0,0.0,0.0,0.0,25.0
Scroll of Remove Fear,"bard 1, cleric/oracle 1, inquisitor 1, shaman 1, psychic 1, mesmerist 1, spiritualist 1, medium 1",Suppresses fear or gives +4 on saves against fear for one subject + one per four levels.,25.0,0.0,25.0,0.0,25.0
Scroll of Bane,"antipaladin 1, cleric/oracle 1, inquisitor 1, shaman 1, mesmerist 1",Enemies take –1 on attack rolls and saves vs. fear.,25.0,0.0,0.0,0.0,25.0
Scroll of Summon Monster I,"bard 1, cleric/oracle 1, sorcerer/wizard 1, summoner/unchained summoner 1, witch 1, antipaladin 1, psychic 1, spiritualist 1, medium 1",(Evil creatures only.) Summons extraplanar creature to fight for you.,25.0,25.0,25.0,0.0,25.0
Scroll of Summon Minor Monster,"antipaladin 1, bard 1, cleric/oracle 1, sorcerer/wizard 1, summoner/unchained summoner 1, witch 1, psychic 1, medium 1",Summon 1d3 Tiny animals.,25.0,25.0,25.0,0.0,25.0
Scroll of Ant Haul,"alchemist 1, cleric/oracle 1, druid 1, ranger 1, sorcerer/wizard 1, summoner/unchained summoner 1, occultist 1, psychic 1, medium 1",Triples carrying capacity of a creature.,25.0,25.0,0.0,25.0,25.0
Scroll of Bless,"cleric/oracle 1, paladin 1, inquisitor 1, shaman 1",Allies gain +1 on attack rolls and saves against fear.,25.0,0.0,0.0,25.0,25.0
Scroll of Swallow Your Fear,"bard 1, cleric/oracle 1",,25.0,0.0,25.0,0.0,25.0
Scroll of Unbreakable Heart,"bard 1, cleric/oracle 1, paladin 1, ranger 1, witch 1",,25.0,0.0,25.0,25.0,25.0
Scroll of Abadar's Truthtelling,"cleric/oracle 1, inquisitor 1, paladin 1",,25.0,0.0,0.0,25.0,25.0
Scroll of Decompose Corpse,"cleric/oracle 1, druid 1, sorcerer/wizard 1, witch 1, occultist 1, psychic 1, spiritualist 1, medium 1",Turn a corpse into a clean skeleton.,25.0,25.0,0.0,0.0,25.0
Scroll of Blessing Of The Watch,"cleric/oracle 1, inquisitor 1, paladin 1",,25.0,0.0,0.0,25.0,25.0
Scroll of Diagnose Disease,"cleric/oracle 1, druid 1, paladin 1, ranger 1, witch 1, occultist 1, psychic 1, mesmerist 1",Detect and identify diseases.,25.0,0.0,0.0,25.0,25.0
Scroll of Fairness,"cleric/oracle 1, inquisitor 2, paladin 2",,25.0,0.0,0.0,200.0,25.0
Scroll of Haze Of Dreams,"bard 1, cleric/oracle 1, inquisitor 1, paladin 1, witch 1",,25.0,0.0,25.0,25.0,25.0
Scroll of Abundant Ammunition,"bard 1, cleric/oracle 1, ranger 1, sorcerer/wizard 1, psychic 1",Replaces nonmagical ammunition every round.,25.0,25.0,25.0,25.0,25.0
Scroll of Restore Corpse,"cleric/oracle 1, druid 1, sorcerer/wizard 1, witch 1, occultist 1, psychic 1, medium 1",Skeletal corpse grows flesh.,25.0,25.0,0.0,0.0,25.0
Scroll of Air Bubble,"cleric/oracle 1, druid 1, ranger 1, sorcerer/wizard 1, witch 1, psychic 1",Creates a small pocket of air around your head or an object.,25.0,25.0,0.0,25.0,25.0
Scroll of Instant Portrait,"bard 1, cleric/oracle 1, inquisitor 1, mesmerist 1, occultist 1, psychic 1, sorcerer/wizard 1, summoner/unchained summoner 1, witch 1",,25.0,25.0,25.0,0.0,25.0
Scroll of Songbird,"bard 1, cleric/oracle 1, mesmerist 1, paladin 1, psychic 1, sorcerer/wizard 1",Conjure music from a good-aligned plane.,25.0,25.0,25.0,25.0,25.0
Scroll of Liberating Command,"bard 1, cleric/oracle 1, druid 1, paladin 1, ranger 1, sorcerer/wizard 1, occultist 1, psychic 1, medium 1",Target makes an Escape Artist check as an immediate action and gains a bonus on it.,25.0,25.0,25.0,25.0,25.0
Scroll of Recharge Innate Magic,"alchemist 1, bard 1, cleric/oracle 1, druid 1, inquisitor 1, magus 1, sorcerer/wizard 1, witch 1, psychic 1, mesmerist 1",,25.0,25.0,25.0,0.0,25.0
Scroll of Cure Light Wounds,"bard 1, cleric/oracle 1, druid 1, paladin 1, ranger 2, witch 1, inquisitor 1, alchemist 1, shaman 1, occultist 1, spiritualist 1",Cures 1d8 damage + 1/level (max +5).,25.0,0.0,25.0,25.0,25.0
Scroll of Obscuring Mist,"cleric/oracle 1, druid 1, sorcerer/wizard 1, witch 1, magus 1, shaman 1, mesmerist 1, spiritualist 1, unchained summoner 1",Fog surrounds you.,25.0,25.0,0.0,0.0,25.0
Scroll of Stunning Barrier,"cleric/oracle 1, inquisitor 1, paladin 1, sorcerer/wizard 1, psychic 1","Magical field grants a +1 bonus to AC and on saves, and stuns one creature attacking you.",25.0,25.0,0.0,25.0,25.0
Scroll of Pesh Vigor,"alchemist 1, antipaladin 1, bloodrager 1, cleric/oracle 1, druid 1, magus 1, medium 1, psychic 1, shaman 1, sorcerer/wizard 1, summoner/unchained summoner 1",,25.0,25.0,0.0,0.0,25.0
Scroll of Shadow Trap,"antipaladin 1, bard 1, bloodrager 1, cleric/oracle 1, mesmerist 1, occultist 1, psychic 1, shaman 1, sorcerer/wizard 1, witch 1",,25.0,25.0,25.0,0.0,25.0
Scroll of Cultural Adaptation,"bard 1, cleric/oracle 1, medium 1, occultist 1, psychic 1, sorcerer/wizard 1",Adapt to fit the local culture.,25.0,25.0,25.0,0.0,25.0
